Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
105932,735,54.7,14.0,227,407,605,0.9,0.3,56.5,0,507,7,37,3,0,31,1,63,20
242337,395,17.2,9.0,43,882,227,48.5,2.5,14.1,6,547,0,80,2,0,5,0,38,118
275715,323,12,5.0,76,354,535,29.5,3.3,25.3,18,1112,35,52,3,0,12,0,32,16
272913,370,20.1,6.0,110,524,287,15.6,2.1,32.4,10,267,17,111,2,0,12,0,36,13
273304,409,13.5,6.0,0,958,953,58.4,16.7,17.4,13,513,94,115,6,0,5,1,115,465
240054,322,16.3,4.0,0,279,61,38.7,3.9,5.6,1,392,4,11,2,0,3,0,11,48
236215,434,7.7,1.0,0,617,2118,84.6,11.9,10.2,9,1057,101,82,4,0,8,1,117,95
275212,291,13.6,4.0,55,474,303,24.2,0.7,18.5,4,14,2,24,2,1,8,0,28,5
241236,202,16.5,11.0,265,105,230,5.5,1.7,9,2,551,4,58,2,0,2,0,27,38
274355,379,5,1.0,0,315,1754,70.4,25.7,16.4,7,300,26,93,6,0,6,1,117,296
245120,382,13.7,2.0,0,45,524,59.9,12.1,10.4,6,872,84,26,4,0,5,0,31,53
239700,288,4,1.0,3,518,429,53.7,4,9.7,9,636,12,38,3,1,6,0,38,150
246347,188,6,4.0,20,494,384,24.3,11.3,9.8,2,238,2,41,3,0,3,0,49,175
266013,197,1.4,0.0,0,631,864,47.6,12.3,7.8,10,1279,18,95,5,0,3,0,73,68
146998,108,4.4,1.0,1,109,542,13.8,4.7,5.6,6,158,67,123,2,0,2,0,32,88
142966,659,43,26.0,189,1507,1329,34.3,8,37.2,19,6017,146,192,3,0,18,1,91,114
135867,849,46.4,35.0,5,63,921,90.5,9,25.6,2,968,20,686,13,1,12,0,181,304
217330,413,27.8,15.0,0,401,961,33.2,8.6,15.1,9,5560,37,223,6,0,6,1,122,111
213548,166,4.8,2.0,5,260,561,28.2,4.6,4.9,5,992,38,52,2,0,3,0,44,35
221791,175,5.1,1.0,0,81,171,25.9,2.8,8.2,4,2935,16,44,2,0,1,0,16,15
210507,244,7.7,1.0,0,112,1413,40.5,10,8.2,11,1168,184,99,3,0,5,1,78,160
237067,374,21,8.0,26,479,287,40.1,4.8,8.1,5,5063,9,110,2,0,3,0,29,51
246558,547,18.4,8.0,69,148,496,74,3.9,22.3,8,1350,53,188,3,0,6,0,41,44
244529,200,12.2,2.0,0,307,462,22.3,4.5,3.2,1,2456,38,104,2,0,2,0,70,104
64066,182,16.2,10.0,41,565,619,7.6,4.2,4.7,1,13290,46,183,5,0,2,0,89,169
103915,141,7.3,1.0,0,408,497,17.8,3.7,2.8,2,145,39,32,1,0,2,0,29,42
100118,125,4.9,3.0,20,684,380,12,0,8.3,12,464,2,293,0,0,2,0,28,13
105046,50,3.3,2.0,8,62,5,2.8,0.5,2.5,2,98,4,1,0,0,0,0,0,1
274262,268,11,2.0,0,305,947,39.2,5.4,4.8,2,105,43,41,2,0,4,1,57,37
93896,279,5.3,1.0,0,48,1309,53.2,8,7.4,6,2428,135,65,3,0,5,1,78,70
272441,143,4.7,1.0,0,943,360,22,4.8,4.7,3,222,9,51,2,0,1,0,36,57
222666,204,7.9,1.0,0,749,744,29,7.3,4.7,6,447,76,97,2,0,3,1,49,83
72349,216,5.4,1.0,0,394,39,38.9,1,3.9,1,16,1,26,1,0,0,0,6,2
75087,171,14.4,2.0,0,589,255,10.7,4.7,2.9,2,820,20,60,1,0,1,0,30,42
222667,390,21.5,10.0,48,420,757,37.1,15.6,13.2,3,1191,8,111,7,0,4,0,87,195
24709,154,4.1,3.0,10,418,35,26.1,0.4,2.5,0,118,0,13,1,0,2,0,12,54
259135,123,9,6.0,23,146,489,10.4,4.5,3.3,4,513,73,50,1,0,2,0,26,86
59280,259,15.6,10.0,41,113,52,26.8,0.5,2.8,0,478,1,19,1,0,2,0,14,56
86278,307,12.3,2.0,0,251,1053,45.5,7.5,6.5,3,4644,49,61,3,0,4,1,65,55
38033,128,4,1.0,0,451,540,21.4,3,2.7,1,101,23,34,8,0,2,0,42,20
17971,179,4.8,1.0,0,34,121,30.1,1.6,4,2,2473,3,16,1,0,1,0,16,16
174026,267,22.8,7.0,0,344,459,15.8,4.6,2.9,9,310,26,43,2,0,2,0,38,32
74153,126,8.9,6.0,23,72,396,11.1,4.3,2.8,3,697,26,106,1,0,2,0,69,106
55641,135,4,1.0,0,331,672,23.1,4.4,4,4,198,62,44,2,0,3,1,43,72
160185,139,7.5,1.0,0,528,249,14.8,5.9,4.6,2,249,28,49,2,0,1,0,15,35
105691,462,25.1,14.0,2,792,352,55.8,2.2,8.4,10,73,1,33,4,0,2,0,80,22
189305,404,11.1,5.0,20,257,329,72.5,9.7,6.6,6,254,2,48,3,0,7,0,69,43
245730,126,7.4,1.0,0,134,419,14,3.3,2.2,8,785,79,50,1,0,1,0,26,31
67767,248,6.7,1.0,0,448,493,40.2,8.3,8.5,3,809,17,74,3,0,2,1,57,116
81111,61,1.5,0.0,0,152,446,11.8,5.6,2,5,512,10,24,1,0,1,0,26,42
204933,69,3.7,1.0,0,301,357,8.5,3.8,2.4,1,435,24,98,1,0,1,0,68,100
46372,232,6.5,1.0,0,542,365,36.9,7.4,7.9,1,292,12,64,2,0,2,1,51,106
222808,268,4.7,1.0,0,267,1205,52.1,3.8,6.3,2,86,17,45,3,0,4,1,68,41
247103,211,15.7,8.0,0,37,645,18.3,9,3.6,5,242,6,51,2,0,2,0,58,57
217332,264,24.3,9.0,33,299,436,12.4,6.6,2.2,5,543,6,29,1,0,1,0,28,42
107228,267,7.2,2.0,< 1,307,133,44.7,1.2,4.9,2,19,1,56,3,0,3,0,20,125
276299,173,9.9,4.0,15,92,515,19.7,3.5,2.8,1,762,31,45,2,0,2,0,33,27
86197,395,11.4,2.0,0,272,1539,62.9,16.7,14,9,919,89,116,6,0,7,1,109,229
163927,58,5.9,4.0,15,43,47,1.6,0.5,0.3,1,406,2,10,0,0,0,0,4,7
267615,316,17.3,3.0,105,1334,400,13.4,1.4,26.6,2,1181,5,99,4,0,16,1,57,20
88230,353,18,13.0,27,283,743,32.1,5.1,18.9,3,1978,18,85,5,0,7,1,111,43
13059,209,5.7,1.0,0,12,642,30.6,12.7,10.4,6,831,20,66,4,0,3,0,62,181
14035,235,14.1,2.0,0,593,707,25.7,4,3.3,4,715,34,30,1,0,2,0,38,35
136456,458,8,4.0,17,1043,317,86.9,3.9,9.7,4,3526,15,54,2,0,1,0,26,27
221092,215,11.1,3.0,94,93,267,1.9,0.7,25.8,0,77,3,31,1,0,11,0,29,10
150812,321,21.8,11.0,115,115,324,8.2,1.1,22.9,5,1033,6,50,2,0,9,0,28,28
246559,506,8.5,2.0,46,79,364,83.3,2.8,24.8,5,354,10,77,2,0,11,0,32,20
245126,402,29.5,20.0,60,776,912,24.3,7.5,15.3,9,7735,82,104,5,0,9,1,94,109
86602,378,24.8,7.0,26,1101,770,32.4,6.2,10.1,13,3754,40,111,2,0,4,0,75,53
